code,name,lat,lon,population,area,income_med,income_med_m,income_med_f
704,Kitzbühel,47.43,12.38,60804,1163.28,2017,2312,1717
705,Kufstein,47.5,12.03,97089,969.9,2240,2696,1716
706,Landeck,47.07,10.47,44578,1594.82,2116,2350,1897
707,Lienz,46.9,12.5,50472,2019.87,2140,2558,1580
708,Reutte,47.21,10.76,31942,1236.82,2213,2728,1779
709,Schwaz,47.27,11.77,76913,1843.2,2169,2589,1781
801,Bludenz,47.1,9.87,61959,1287.52,2363,2743,1964
802,Bregenz,47.45,9.92,123902,863.34,2511,3114,1867
803,Dornbirn,47.42,9.73,78499,172.37,2316,2846,1731
804,Feldkirch,47.37,9.67,96467,278.26,2461,2981,1793
900,Wien,48.25,16.42,1714142,414.87,2392,2670,2089
